phase,model,metrics_used,precision,recall,f1
CV,Neural Net,"language_metric,author_metric",0.7241379310344828,0.08786610878661087,0.15671641791044777
Test,Logistic Regression,"language_metric,author_metric",0.43828715365239296,0.5819397993311036,0.5
Test,Random Forest,"language_metric,author_metric",0.47297297297297297,0.4682274247491639,0.47058823529411764
Test,XGBoost,"language_metric,author_metric",0.39096267190569745,0.6655518394648829,0.49257425742574257
Test,LightGBM,"language_metric,author_metric",0.3911368015414258,0.6789297658862876,0.4963325183374083
Test,Neural Net,"language_metric,author_metric",0.71875,0.07692307692307693,0.13897280966767372
CV,Logistic Regression,"synonym_metric,keywords_metric",0.4302496328928047,0.7355648535564854,0.5429277331686226
CV,Random Forest,"synonym_metric,keywords_metric",0.7413962635201573,0.6309623430962343,0.6817359855334539
CV,XGBoost,"synonym_metric,keywords_metric",0.6508994003997335,0.8175732217573222,0.7247774480712166
CV,LightGBM,"synonym_metric,keywords_metric",0.6313479623824452,0.8426778242677824,0.7218637992831541
CV,Neural Net,"synonym_metric,keywords_metric",0.6198044009779952,0.42426778242677826,0.503725782414307
Test,Logistic Regression,"synonym_metric,keywords_metric",0.42168674698795183,0.7023411371237458,0.5269761606022585
Test,Random Forest,"synonym_metric,keywords_metric",0.73828125,0.6321070234113713,0.6810810810810811
Test,XGBoost,"synonym_metric,keywords_metric",0.6206030150753769,0.8260869565217391,0.7087517934002869
Test,LightGBM,"synonym_metric,keywords_metric",0.656084656084656,0.8294314381270903,0.7326440177252584
Test,Neural Net,"synonym_metric,keywords_metric",0.6078431372549019,0.41471571906354515,0.49304174950298213
CV,Logistic Regression,"synonym_metric,author_metric",0.36997096640398175,0.7464435146443514,0.4947310038824182
CV,Random Forest,"synonym_metric,author_metric",0.7712418300653595,0.6912133891213389,0.7290379523389232
CV,XGBoost,"synonym_metric,author_metric",0.6363044892648015,0.8184100418410042,0.7159590043923866
CV,LightGBM,"synonym_metric,author_metric",0.6020656136087484,0.8292887029288702,0.6976416754663851
CV,Neural Net,"synonym_metric,author_metric",0.6030534351145038,0.3305439330543933,0.42702702702702705
Test,Logistic Regression,"synonym_metric,author_metric",0.3523809523809524,0.7424749163879598,0.47793326157158234
Test,Random Forest,"synonym_metric,author_metric",0.725925925925926,0.6555183946488294,0.6889279437609842
Test,XGBoost,"synonym_metric,author_metric",0.5597189695550351,0.7993311036789298,0.6584022038567493
Test,LightGBM,"synonym_metric,author_metric",0.5947867298578199,0.8394648829431438,0.6962552011095701
Test,Neural Net,"synonym_metric,author_metric",0.5813953488372093,0.33444816053511706,0.42462845010615713
CV,Logistic Regression,"keywords_metric,author_metric",0.4093536521282186,0.6518828451882845,0.5029051000645578
CV,Random Forest,"keywords_metric,author_metric",0.4769433465085639,0.302928870292887,0.3705220061412487
CV,XGBoost,"keywords_metric,author_metric",0.41074626865671643,0.5757322175732218,0.4794425087108014
CV,LightGBM,"keywords_metric,author_metric",0.4059003051881994,0.6677824267782427,0.5049035115469788
CV,Neural Net,"keywords_metric,author_metric",0.675,0.13556485355648534,0.22578397212543555
Test,Logistic Regression,"keywords_metric,author_metric",0.3883089770354906,0.6220735785953178,0.4781491002570694
Test,Random Forest,"keywords_metric,author_metric",0.3886255924170616,0.27424749163879597,0.3215686274509804
Test,XGBoost,"keywords_metric,author_metric",0.38724373576309795,0.568561872909699,0.46070460704607047
Test,LightGBM,"keywords_metric,author_metric",0.39410681399631675,0.7157190635451505,0.5083135391923991
Test,Neural Net,"keywords_metric,author_metric",0.6190476190476191,0.13043478260869565,0.2154696132596685
CV,Logistic Regression,"name_metric,paragraph_metric,language_metric",0.6038997214484679,0.907112970711297,0.7250836120401338
CV,Random Forest,"name_metric,paragraph_metric,language_metric",0.8184931506849316,0.8,0.8091409225560728
CV,XGBoost,"name_metric,paragraph_metric,language_metric",0.784452296819788,0.9288702928870293,0.8505747126436781
CV,LightGBM,"name_metric,paragraph_metric,language_metric",0.7869198312236287,0.9364016736401674,0.8551776843714176
CV,Neural Net,"name_metric,paragraph_metric,language_metric",0.8273950910530483,0.8744769874476988,0.8502847843775427
Test,Logistic Regression,"name_metric,paragraph_metric,language_metric",0.6186252771618626,0.9331103678929766,0.744
Test,Random Forest,"name_metric,paragraph_metric,language_metric",0.8075601374570447,0.7859531772575251,0.7966101694915254
Test,XGBoost,"name_metric,paragraph_metric,language_metric",0.7865168539325843,0.9364548494983278,0.8549618320610687
Test,LightGBM,"name_metric,paragraph_metric,language_metric",0.7750677506775068,0.9565217391304348,0.8562874251497006
Test,Neural Net,"name_metric,paragraph_metric,language_metric",0.8053892215568862,0.8996655518394648,0.8499210110584519
CV,Logistic Regression,"name_metric,paragraph_metric,synonym_metric",0.6062118691070438,0.9146443514644351,0.7291527685123416
CV,Random Forest,"name_metric,paragraph_metric,synonym_metric",0.8535980148883374,0.8635983263598327,0.8585690515806988
CV,XGBoost,"name_metric,paragraph_metric,synonym_metric",0.827252419955324,0.9297071129707113,0.8754925137903862
CV,LightGBM,"name_metric,paragraph_metric,synonym_metric",0.8217391304347826,0.9489539748953975,0.8807766990291263
CV,Neural Net,"name_metric,paragraph_metric,synonym_metric",0.7915708812260537,0.8644351464435146,0.8264
Test,Logistic Regression,"name_metric,paragraph_metric,synonym_metric",0.6065217391304348,0.9331103678929766,0.7351778656126482
Test,Random Forest,"name_metric,paragraph_metric,synonym_metric",0.8419354838709677,0.8729096989966555,0.8571428571428571
Test,XGBoost,"name_metric,paragraph_metric,synonym_metric",0.8034682080924855,0.9297658862876255,0.862015503875969
Test,LightGBM,"name_metric,paragraph_metric,synonym_metric",0.7988826815642458,0.9565217391304348,0.8706240487062404
Test,Neural Net,"name_metric,paragraph_metric,synonym_metric",0.7636887608069164,0.8862876254180602,0.8204334365325078
CV,Logistic Regression,"name_metric,paragraph_metric,keywords_metric",0.5992345544013122,0.9171548117154812,0.7248677248677249
CV,Random Forest,"name_metric,paragraph_metric,keywords_metric",0.8024193548387096,0.8326359832635983,0.8172484599589322
CV,XGBoost,"name_metric,paragraph_metric,keywords_metric",0.7655268667131891,0.9179916317991632,0.834855403348554
CV,LightGBM,"name_metric,paragraph_metric,keywords_metric",0.7630494505494505,0.9297071129707113,0.8381742738589212
CV,Neural Net,"name_metric,paragraph_metric,keywords_metric",0.7876304023845008,0.8845188284518829,0.8332676389436342
Test,Logistic Regression,"name_metric,paragraph_metric,keywords_metric",0.6034858387799564,0.9264214046822743,0.7308707124010554
Test,Random Forest,"name_metric,paragraph_metric,keywords_metric",0.7760736196319018,0.8461538461538461,0.8096
Test,XGBoost,"name_metric,paragraph_metric,keywords_metric",0.7595628415300546,0.9297658862876255,0.8360902255639098
Test,LightGBM,"name_metric,paragraph_metric,keywords_metric",0.7513089005235603,0.959866220735786,0.8428781204111601
Test,Neural Net,"name_metric,paragraph_metric,keywords_metric",0.7761627906976745,0.8929765886287625,0.8304821150855366
CV,Logistic Regression,"name_metric,paragraph_metric,author_metric",0.630097645031591,0.9179916317991632,0.747275204359673
CV,Random Forest,"name_metric,paragraph_metric,author_metric",0.8127035830618893,0.8351464435146444,0.8237721832439125
CV,XGBoost,"name_metric,paragraph_metric,author_metric",0.7895500725689405,0.9104602510460251,0.845705402254178
